id,source_type,source_path_or_link,project,date_range,title,status,summary_path,context_patch_path,notes
LOCAL-0018,local_transcript,00_sources/CodexOverAider.txt,ICM Workflow Optimization Handoff,2026-06-07..2026-06-08,Codex-over-Aider terminal/session transcript,extracted,02_sessions/2026-06-08_codex-over-aider.md,07_review_queue/context_patch_LOCAL-0018.md,"Large local transcript (523475 bytes, 7936 lines). Distilled stable tooling/workflow facts; detailed run claims left for review."
LOCAL-0019,local_run_folders+handoff_note,"10_agent_runs/2026-06-07_027_gemma-aider-model-resolution/;10_agent_runs/2026-06-07_028_gemma-aider-runtime-token-commas/;10_agent_runs/2026-06-07_029_gemma-aider-timeout-bounded/;02_sessions/2026-06-08_abacus-handoff-gemma-aider.md",ICM Workflow Optimization Handoff,2026-06-07..2026-06-08,Gemma local Aider run-sequence outcomes (027/028/029),extracted,02_sessions/2026-06-08_gemma-aider-027-029.md,07_review_queue/context_patch_LOCAL-0019.md,"Primary evidence is run folders 027/028/029; handoff note used as corroborating context. Captures token-limit boundary, runtime stall mode, and timeout-bounded manager exit classification."
LOCAL-0020,local_run_folder,10_agent_runs/2026-06-08_030_gemma-aider-small-surface-parsers/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Bounded small-surface real-code Aider recheck (run 030),extracted,02_sessions/2026-06-08_gemma-aider-030-small-surface.md,07_review_queue/context_patch_LOCAL-0020.md,"Within-budget and prewarm-successful run still stalled post-dispatch; bounded manager timeout classification preserved and auditable."
LOCAL-0021,local_run_folder,10_agent_runs/2026-06-08_031_gemma-aider-one-file-realcode/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,One-file real-code bounded Aider recheck (run 031),extracted,02_sessions/2026-06-08_gemma-aider-031-one-file-realcode.md,07_review_queue/context_patch_LOCAL-0021.md,"One-file real-code run still stalled post-dispatch despite prewarm success and wide preflight margin; supports direct-edit fallback escalation."
LOCAL-0022,local_run_folder,10_agent_runs/2026-06-08_032_gemma-aider-direct-edit-proof/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Direct-edit fallback live proof (run 032),extracted,02_sessions/2026-06-08_gemma-aider-032-direct-edit-proof.md,07_review_queue/context_patch_LOCAL-0022.md,"Underlying one-file real-code Aider run still stalled post-dispatch, but manager-side direct-edit fallback recovered the requested deterministic edit and preserved passing tests."
LOCAL-0023,local_run_folder,10_agent_runs/2026-06-08_033_gemma-aider-metrics-thin-file/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Thin one-file real-code Aider stall despite validated shape (run 033),extracted,02_sessions/2026-06-08_gemma-aider-033-thin-file-stall.md,07_review_queue/context_patch_LOCAL-0023.md,"Thin one-file real-code run still stalled post-dispatch even though preflight stayed within budget and reported validated_shape_match true; proves the heuristic is only a routing hint."
LOCAL-0024,local_run_folder,10_agent_runs/2026-06-08_034_gemma-aider-direct-edit-shortcut/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Direct-edit short-circuit live proof (run 034),extracted,02_sessions/2026-06-08_gemma-aider-034-direct-edit-shortcut.md,07_review_queue/context_patch_LOCAL-0024.md,"Manager-side direct-edit short-circuit completed a real one-file deterministic change with zero Aider and zero endpoint usage, even though validated_shape_match was false."
LOCAL-0025,local_run_folder,10_agent_runs/2026-06-08_035_gemma-direct-edit-large-readme/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Large-file direct-edit short-circuit proof (run 035),extracted,02_sessions/2026-06-08_gemma-aider-035-large-direct-edit.md,07_review_queue/context_patch_LOCAL-0025.md,"Widened deterministic short-circuit is live-proven on a 10507-byte real file, moving the documented manager envelope beyond the old 4096-byte ceiling."
LOCAL-0026,local_run_folder,10_agent_runs/2026-06-08_036_gemma-direct-edit-insert-readme/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Direct-edit insert-after live proof (run 036),extracted,02_sessions/2026-06-08_gemma-aider-036-insert-after-proof.md,07_review_queue/context_patch_LOCAL-0026.md,"Manager-side direct-edit short-circuit completed a real insert-after change on an 11895-byte repo file with zero Aider and zero endpoint usage."
LOCAL-0027,local_run_folder,10_agent_runs/2026-06-08_037_gemma-direct-edit-block-readme/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Block-replacement prompt-limit failure (run 037),extracted,02_sessions/2026-06-08_gemma-aider-037-block-limit.md,07_review_queue/context_patch_LOCAL-0027.md,"First real block-replacement probe failed because prompt_char_count 828 exceeded the old deterministic prompt cap of 600, causing fallthrough to whole-file Aider and timeout."
LOCAL-0028,local_run_folder,10_agent_runs/2026-06-08_038_gemma-direct-edit-block-readme-fixed/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Direct-edit block replacement live proof (run 038),extracted,02_sessions/2026-06-08_gemma-aider-038-block-proof.md,07_review_queue/context_patch_LOCAL-0028.md,"After widening the deterministic prompt cap to 1200, the same block-replacement task short-circuited successfully on a 12967-byte repo file with zero Aider and zero endpoint usage."
LOCAL-0029,local_run_folder,10_agent_runs/2026-06-08_039_gemma-direct-edit-batch-readme/,ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Direct-edit batch live proof (run 039),extracted,02_sessions/2026-06-08_gemma-aider-039-batch-proof.md,07_review_queue/context_patch_LOCAL-0029.md,"A two-step one-file deterministic edit plan short-circuited successfully on a 13805-byte repo file; operation 2 depended on text created by operation 1."
LOCAL-0030,local_run_folders,"10_agent_runs/2026-06-08_040_gemma-excerpt-patch-readme/;10_agent_runs/2026-06-08_041_gemma-excerpt-patch-readme-fixed/",ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Excerpt patch limit and fix (runs 040/041),extracted,02_sessions/2026-06-08_gemma-aider-040-041-excerpt-patch.md,07_review_queue/context_patch_LOCAL-0030.md,"Run 040 exposed the old shared 1200-character deterministic prompt cap as too small for a real two-hunk excerpt patch; run 041 widened the excerpt cap to 4096 and short-circuited the same README patch successfully."
LOCAL-0031,local_run_folders,"10_agent_runs/2026-06-08_042_gemma-direct-edit-multi-file-docs/;10_agent_runs/2026-06-08_043_gemma-direct-edit-multi-file-docs-fixed/",ICM Workflow Optimization Handoff,2026-06-08..2026-06-08,Multi-file deterministic batch limit and fix (runs 042/043),extracted,02_sessions/2026-06-08_gemma-aider-042-043-multi-file-batch.md,07_review_queue/context_patch_LOCAL-0031.md,"Run 042 exposed the old direct-edit file ceiling and Aider budget gate as blockers for a valid two-file deterministic batch; run 043 widened the file ceiling to 24576 bytes and let direct-edit-eligible work bypass the budget gate, then short-circuited the same two-file task successfully."
